id,sex,inr_avg,ing_avg,inb_avg,incolor,totalthroat,innnerthroat,outerthroat,inratio,outratio,totalratio,morph,outr_avg,outg_avg,outb_avg,outcolor,notes,site,sitetype,sex2,date,bltime,svl,mass,morph2,stage,clutch,f1,f2,f3,f4,f5,f6,f7,f8,l,w,trayid,mass.n,mass.c,C.N,ape.n,ape.c,d15N,d13C,paintid,blvol,oxy,droms,blbka,notes,maxrepro,totalcolor,incolorindex,outcolorindex,blotch.area,repro,avgrepro,blcort
1201,m,146,153,151,0.986928105,87.24,45.22,22.64,0.518340211,0.259513984,0.777854195,ob,185,165,137,1.121212121,,Bluff,urban,m,5/3/16,11:27,48,3,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.625,0.25,,NA,NA,NA,NA,NA,NA,NA,17,28,348.4513274,30.30855178,28.49364791,bite marks,NA,0.802534747,0.511564522,0.290970224,0.490625,NA,NA,26.985
1202,f,0,0,0,NA,77.21,0,8.32,0,0.107758062,0.107758062,oo,200,177,148,1.129943503,,Bluff,urban,f,5/3/16,11:10,45,2.5,orange,early,4,0.27,0.29,0.29,0.29,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,16,17,350.5162242,15.91886549,34.30127042,bite marks,0.29,NA,NA,0.121760522,NA,1.14,0.285,NA
1203,m,167,177,179,1.011299435,118.81,36.88,25.09,0.310411582,0.21117751,0.521589092,ob,199,169,143,1.177514793,,Bluff,urban,m,5/3/16,11:54,53,4.6,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,,NA,NA,NA,NA,NA,NA,NA,15,32,352.5811209,13.23455092,76.76950998,bites and regrown tail; 1203b,NA,0.562583699,0.313919057,0.248664642,0.471,NA,NA,17.581
1204,f,0,0,0,NA,85.12,0,4.66,0,0.054746241,0.054746241,oo,201,183,153,1.098360656,,Bluff,urban,f,5/3/16,12:07,49,3.9,orange,late,5,0.65,0.56,0.62,0.47,0.57,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,18,24,352.5811209,3.597421573,42.64972777,natural loss number 1; 1204b,0.65,NA,NA,0.060131117,NA,2.87,0.574,51.025
1205,f,0,0,0,NA,83.75,0,10.45,0,0.124776119,0.124776119,oo,208,176,149,1.181818182,oy?,Browse,rural,f,5/4/16,11:04,49,4.3,orange,late,5,0.7,0.65,0.82,0.56,0.47,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,16,24,346.3864307,12.39845294,60.79854809,equals 1205b; 4510,0.7,NA,NA,0.147462686,NA,3.2,0.64,30.171
1211,f,0,0,0,NA,87.74,0,14.72,0,0.167768407,0.167768407,oo,209,172,142,1.215116279,,Browse,rural,f,5/4/16,11:15,48,2.9,orange,early,4,0.27,0.28,0.27,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,24,348.4513274,24.67589171,46.64246824,toeclip 4555,0.28,NA,NA,0.203858122,NA,1.13,0.2825,5.253
1212,f,0,0,0,NA,82.12,0,6.42,0,0.078178276,0.078178276,oo,218,197,173,1.106598985,,Browse,rural,f,5/5/16,11:23,48,4,orange,late,4,0.88,0.82,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,352.5811209,24.80790718,22.323049,toeclip 4545,0.88,NA,NA,0.086512001,NA,3.2,0.8,104.994
1213,m,163,161,153,0.950310559,100.6,18.67,44.15,0.185586481,0.438866799,0.62445328,ob,191,155,125,1.232258065,,Browse,rural,m,5/6/16,11:31,50,4.3,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,19,51,351.5486726,17.89909755,48.09437387,toeclip 4535,NA,0.717161945,0.176364793,0.540797153,0.5652,NA,NA,13.248
1214,m,130,149,160,1.073825503,115.35,61.02,2.88,0.5289987,0.02496749,0.55396619,ob,179,156,131,1.147435897,,Browse,rural,m,5/7/16,11:34,52,5.1,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,20,36,347.4188791,19.74731414,68.42105263,toeclip 4525,NA,0.596700889,0.568052295,0.028648594,1.884,NA,NA,17.894
1215,m,150,165,165,1,97.27,28.32,3.06,0.29114835,0.031458826,0.322607176,yb,214,210,188,1.019047619,,Browse,rural,m,5/8/16,11:45,51,4,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,8.4,NA,NA,NA,NA,NA,NA,NA,NA,21,38,350.5162242,12.48646326,32.12341198,toeclip 4515,NA,0.323206392,0.29114835,0.032058042,29.0136,NA,NA,15.35
